date,temp_max,temp_min,temp_ave,temp_departure,hdd,ccd,ppt,new_snow,snow_depth,airport
2017-01-01,50,33,41.5,7.2,23,0,T,0,0,EWR
2017-01-02,42,32,37,2.9,28,0,0.29,T,0,EWR
2017-01-03,44,39,41.5,7.6,23,0,0.43,0,0,EWR
2017-01-04,54,33,43.5,9.8,21,0,T,0,0,EWR
2017-01-05,33,26,29.5,-4.1,35,0,T,T,0,EWR
2017-01-06,34,25,29.5,-3.9,35,0,0.06,1.6,1,EWR
2017-01-07,26,20,23,-10.3,42,0,0.32,5.8,0,EWR
2017-01-08,26,15,20.5,-12.6,44,0,0,0,5,EWR
2017-01-09,23,12,17.5,-15.5,47,0,0,0,3,EWR
2017-01-10,44,15,29.5,-3.4,35,0,0,0,2,EWR
2017-01-11,53,40,46.5,13.7,18,0,0.57,0,0,EWR
2017-01-12,67,46,56.5,23.8,8,0,0.09,0,0,EWR
2017-01-13,61,33,47,14.4,18,0,T,0,0,EWR
2017-01-14,34,28,31,-1.5,34,0,0.1,1.4,0,EWR
2017-01-15,41,29,35,2.6,30,0,0,0,1,EWR
2017-01-16,44,25,34.5,2.1,30,0,T,0,T,EWR
2017-01-17,41,38,39.5,7.2,25,0,0.53,0,0,EWR
2017-01-18,42,38,40,7.7,25,0,0.04,0,0,EWR
2017-01-19,50,37,43.5,11.3,21,0,T,0,0,EWR
2017-01-20,45,40,42.5,10.3,22,0,0.14,0,0,EWR
2017-01-21,48,42,45,12.8,20,0,T,0,0,EWR
2017-01-22,50,44,47,14.8,18,0,T,0,0,EWR
2017-01-23,46,37,41.5,9.3,23,0,1.24,T,0,EWR
2017-01-24,41,36,38.5,6.3,26,0,0.78,T,0,EWR
2017-01-25,52,37,44.5,12.3,20,0,0,0,0,EWR
2017-01-26,56,42,49,16.7,16,0,0.03,0,0,EWR
2017-01-27,46,35,40.5,8.2,24,0,T,T,0,EWR
2017-01-28,39,33,36,3.6,29,0,T,T,0,EWR
2017-01-29,45,30,37.5,5,27,0,0,0,0,EWR
2017-01-30,40,29,34.5,2,30,0,0,0,0,EWR
2017-01-31,32,25,28.5,-4.1,36,0,0.03,0.5,0,EWR
2017-02-01,49,29,39,6.3,26,0,0,0,T,EWR
2017-02-02,47,31,39,6.1,26,0,T,T,0,EWR
2017-02-03,35,25,30,-3,35,0,0,0,0,EWR
2017-02-04,36,21,28.5,-4.6,36,0,0,0,0,EWR
2017-02-05,42,28,35,1.7,30,0,0,0,0,EWR
2017-02-06,51,37,44,10.6,21,0,0,0,0,EWR
2017-02-07,41,33,37,3.4,28,0,0.27,0,0,EWR
2017-02-08,65,39,52,18.3,13,0,0.04,0,0,EWR
2017-02-09,43,19,31,-2.9,34,0,0.81,7.8,2,EWR
2017-02-10,32,18,25,-9.1,40,0,T,T,6,EWR
2017-02-11,48,30,39,4.8,26,0,0,0,5,EWR
2017-02-12,40,32,36,1.6,29,0,0.43,0.1,3,EWR
2017-02-13,38,30,34,-0.6,31,0,T,T,2,EWR
2017-02-14,42,27,34.5,-0.3,30,0,0,0,2,EWR
2017-02-15,52,32,42,7,23,0,T,0,1,EWR
2017-02-16,38,29,33.5,-1.8,31,0,0,0,0,EWR
2017-02-17,44,27,35.5,0,29,0,0,0,0,EWR
2017-02-18,66,30,48,12.3,17,0,0,0,0,EWR
2017-02-19,69,47,58,22.1,7,0,0,0,0,EWR
2017-02-20,56,37,46.5,10.4,18,0,0,0,0,EWR
2017-02-21,46,30,38,1.6,27,0,0,0,0,EWR
2017-02-22,59,41,50,13.4,15,0,T,0,0,EWR
2017-02-23,67,43,55,18.2,10,0,T,0,0,EWR
2017-02-24,74,53,63.5,26.4,1,0,0,0,0,EWR
2017-02-25,66,46,56,18.7,9,0,0.54,0,0,EWR
2017-02-26,46,32,39,1.4,26,0,T,0,0,EWR
2017-02-27,55,30,42.5,4.7,22,0,0,0,0,EWR
2017-02-28,60,44,52,14,13,0,T,0,0,EWR
2017-03-01,73,52,62.5,24.2,2,0,0.16,0,0,EWR
2017-03-02,65,36,50.5,12,14,0,T,0,0,EWR
2017-03-03,42,25,33.5,-5.3,31,0,T,T,0,EWR
2017-03-04,32,17,24.5,-14.6,40,0,0,0,0,EWR
2017-03-05,38,14,26,-13.3,39,0,0,0,0,EWR
2017-03-06,44,22,33,-6.6,32,0,0,0,0,EWR
2017-03-07,57,42,49.5,9.7,15,0,0.09,0,0,EWR
2017-03-08,62,49,55.5,15.4,9,0,T,0,0,EWR
2017-03-09,65,49,57,16.6,8,0,0,0,0,EWR
2017-03-10,49,24,36.5,-4.2,28,0,0.26,2.4,T,EWR
2017-03-11,31,18,24.5,-16.4,40,0,T,T,1,EWR
2017-03-12,32,20,26,-15.2,39,0,0,0,T,EWR
2017-03-13,37,20,28.5,-13,36,0,T,0.1,0,EWR
2017-03-14,32,22,27,-14.8,38,0,1.15,6.9,4,EWR
2017-03-15,27,20,23.5,-18.6,41,0,T,T,5,EWR
2017-03-16,41,23,32,-10.4,33,0,0,0,5,EWR
2017-03-17,47,26,36.5,-6.2,28,0,0,0,4,EWR
2017-03-18,39,28,33.5,-9.5,31,0,0.05,T,3,EWR
2017-03-19,48,33,40.5,-2.8,24,0,0,0,3,EWR
2017-03-20,55,34,44.5,0.9,20,0,0,0,1,EWR
2017-03-21,62,42,52,8.1,13,0,T,0,0,EWR
2017-03-22,49,24,36.5,-7.8,28,0,0,0,0,EWR
2017-03-23,45,23,34,-10.6,31,0,0,0,0,EWR
2017-03-24,58,31,44.5,-0.4,20,0,T,0,0,EWR
2017-03-25,62,44,53,7.7,12,0,0.01,0,0,EWR
2017-03-26,44,39,41.5,-4.1,23,0,0.05,0,0,EWR
2017-03-27,56,39,47.5,1.5,17,0,0.23,0,0,EWR
2017-03-28,49,41,45,-1.3,20,0,0.99,0,0,EWR
2017-03-29,61,41,51,4.3,14,0,0,0,0,EWR
2017-03-30,52,35,43.5,-3.6,21,0,0.02,0,0,EWR
2017-03-31,42,38,40,-7.4,25,0,2.06,0,0,EWR
2017-04-01,50,36,43,-4.8,22,0,0.02,0,0,EWR
2017-04-02,65,41,53,4.8,12,0,0,0,0,EWR
2017-04-03,62,44,53,4.4,12,0,0.04,0,0,EWR
2017-04-04,53,47,50,1.1,15,0,1.22,0,0,EWR
2017-04-05,63,45,54,4.7,11,0,0,0,0,EWR
2017-04-06,50,42,46,-3.7,19,0,0.76,0,0,EWR
2017-04-07,50,40,45,-5.1,20,0,T,0,0,EWR
2017-04-08,60,40,50,-0.5,15,0,T,0,0,EWR
2017-04-09,70,40,55,4.1,10,0,0,0,0,EWR
2017-04-10,82,48,65,13.7,0,0,0,0,0,EWR
2017-04-11,84,56,70,18.3,0,5,0,0,0,EWR
2017-04-12,78,59,68.5,16.4,0,4,0.03,0,0,EWR
2017-04-13,66,48,57,4.5,8,0,0,0,0,EWR
2017-04-14,64,44,54,1.1,11,0,0,0,0,EWR
2017-04-15,67,47,57,3.8,8,0,T,0,0,EWR
2017-04-16,87,58,72.5,18.9,0,8,0.05,0,0,EWR
2017-04-17,75,58,66.5,12.5,0,2,0,0,0,EWR
2017-04-18,64,48,56,1.6,9,0,0,0,0,EWR
2017-04-19,52,46,49,-5.8,16,0,T,0,0,EWR
2017-04-20,67,51,59,3.9,6,0,0.05,0,0,EWR
2017-04-21,57,49,53,-2.5,12,0,0.14,0,0,EWR
2017-04-22,57,50,53.5,-2.4,11,0,0.04,0,0,EWR
2017-04-23,65,44,54.5,-1.7,10,0,0,0,0,EWR
2017-04-24,59,47,53,-3.6,12,0,T,0,0,EWR
2017-04-25,56,51,53.5,-3.4,11,0,0.88,0,0,EWR
2017-04-26,62,53,57.5,0.2,7,0,0.1,0,0,EWR
2017-04-27,69,55,62,4.4,3,0,T,0,0,EWR
2017-04-28,86,55,70.5,12.5,0,6,T,0,0,EWR
2017-04-29,86,65,75.5,17.2,0,11,0.16,0,0,EWR
2017-04-30,69,51,60,1.4,5,0,0,0,0,EWR
2017-05-01,75,50,62.5,3.6,2,0,0,0,0,EWR
2017-05-02,76,63,69.5,10.3,0,5,T,0,0,EWR
2017-05-03,67,49,58,-1.5,7,0,0,0,0,EWR
2017-05-04,61,44,52.5,-7.3,12,0,0,0,0,EWR
2017-05-05,60,53,56.5,-3.6,8,0,3.05,0,0,EWR
2017-05-06,66,53,59.5,-0.9,5,0,0.1,0,0,EWR
2017-05-07,58,47,52.5,-8.2,12,0,T,0,0,EWR
2017-05-08,60,43,51.5,-9.5,13,0,T,0,0,EWR
2017-05-09,64,45,54.5,-6.8,10,0,0,0,0,EWR
2017-05-10,64,49,56.5,-5.1,8,0,0,0,0,EWR
2017-05-11,62,46,54,-7.8,11,0,0,0,0,EWR
2017-05-12,62,45,53.5,-8.6,11,0,0,0,0,EWR
2017-05-13,53,43,48,-14.4,17,0,1.79,0,0,EWR
2017-05-14,70,44,57,-5.7,8,0,0.09,0,0,EWR
2017-05-15,71,53,62,-0.9,3,0,0,0,0,EWR
2017-05-16,81,55,68,4.8,0,3,0,0,0,EWR
2017-05-17,92,59,75.5,12,0,11,0,0,0,EWR
2017-05-18,94,74,84,20.2,0,19,0,0,0,EWR
2017-05-19,93,66,79.5,15.4,0,15,0,0,0,EWR
2017-05-20,66,53,59.5,-4.8,5,0,T,0,0,EWR
2017-05-21,66,51,58.5,-6.1,6,0,0,0,0,EWR
2017-05-22,60,55,57.5,-7.4,7,0,0.7,0,0,EWR
2017-05-23,70,56,63,-2.2,2,0,0,0,0,EWR
2017-05-24,70,57,63.5,-2,1,0,0.04,0,0,EWR
2017-05-25,59,56,57.5,-8.3,7,0,0.95,0,0,EWR
2017-05-26,76,55,65.5,-0.6,0,1,0.15,0,0,EWR
2017-05-27,74,58,66,-0.4,0,1,0,0,0,EWR
2017-05-28,71,58,64.5,-2.2,0,0,T,0,0,EWR
2017-05-29,61,57,59,-8,6,0,0.14,0,0,EWR
2017-05-30,59,55,57,-10.3,8,0,0.18,0,0,EWR
2017-05-31,80,58,69,1.3,0,4,0.05,0,0,EWR
2017-06-01,82,61,71.5,3.5,0,7,0,0,0,EWR
2017-06-02,80,58,69,0.7,0,4,0,0,0,EWR
2017-06-03,76,55,65.5,-3.1,0,1,0.03,0,0,EWR
2017-06-04,70,54,62,-7,3,0,0.1,0,0,EWR
2017-06-05,71,56,63.5,-5.8,1,0,0.05,0,0,EWR
2017-06-06,60,53,56.5,-13.1,8,0,0.05,0,0,EWR
2017-06-07,70,52,61,-9,4,0,0,0,0,EWR
2017-06-08,72,54,63,-7.3,2,0,0,0,0,EWR
2017-06-09,84,52,68,-2.7,0,3,0,0,0,EWR
2017-06-10,88,61,74.5,3.5,0,10,0,0,0,EWR
2017-06-11,94,67,80.5,9.1,0,16,0,0,0,EWR
2017-06-12,97,69,83,11.3,0,18,0,0,0,EWR
2017-06-13,99,72,85.5,13.5,0,21,0,0,0,EWR
2017-06-14,83,69,76,3.6,0,11,0.17,0,0,EWR
2017-06-15,74,65,69.5,-3.2,0,5,0,0,0,EWR
2017-06-16,71,64,67.5,-5.5,0,3,T,0,0,EWR
2017-06-17,73,64,68.5,-4.8,0,4,1.24,0,0,EWR
2017-06-18,89,68,78.5,4.8,0,14,T,0,0,EWR
2017-06-19,91,69,80,6,0,15,1.51,0,0,EWR
2017-06-20,87,69,78,3.7,0,13,0.02,0,0,EWR
2017-06-21,87,68,77.5,2.9,0,13,0,0,0,EWR
2017-06-22,84,65,74.5,-0.4,0,10,0,0,0,EWR
2017-06-23,87,77,82,6.8,0,17,0.41,0,0,EWR
2017-06-24,88,69,78.5,3.1,0,14,1.56,0,0,EWR
2017-06-25,86,68,77,1.3,0,12,T,0,0,EWR
2017-06-26,82,64,73,-2.9,0,8,0,0,0,EWR
2017-06-27,80,62,71,-5.2,0,6,0.15,0,0,EWR
2017-06-28,81,58,69.5,-6.9,0,5,0,0,0,EWR
2017-06-29,86,64,75,-1.6,0,10,0,0,0,EWR
2017-06-30,91,73,82,5.2,0,17,T,0,0,EWR
2017-07-01,85,71,78,1,0,13,0.47,0,0,EWR
2017-07-02,90,69,79.5,2.3,0,15,0,0,0,EWR
2017-07-03,90,71,80.5,3.1,0,16,T,0,0,EWR
2017-07-04,88,71,79.5,2,0,15,T,0,0,EWR
2017-07-05,85,69,77,-0.7,0,12,0,0,0,EWR
2017-07-06,78,71,74.5,-3.3,0,10,T,0,0,EWR
2017-07-07,83,66,74.5,-3.4,0,10,2.15,0,0,EWR
2017-07-08,87,68,77.5,-0.6,0,13,0,0,0,EWR
2017-07-09,84,68,76,-2.2,0,11,0,0,0,EWR
2017-07-10,87,64,75.5,-2.7,0,11,T,0,0,EWR
2017-07-11,89,74,81.5,3.2,0,17,0.04,0,0,EWR
2017-07-12,91,76,83.5,5.1,0,19,0.01,0,0,EWR
2017-07-13,93,73,83,4.6,0,18,0.03,0,0,EWR
2017-07-14,73,66,69.5,-9,0,5,0.3,0,0,EWR
2017-07-15,88,67,77.5,-1,0,13,0.01,0,0,EWR
2017-07-16,87,68,77.5,-1,0,13,0,0,0,EWR
2017-07-17,85,70,77.5,-1,0,13,0,0,0,EWR
2017-07-18,87,72,79.5,1,0,15,0,0,0,EWR
2017-07-19,95,75,85,6.5,0,20,T,0,0,EWR
2017-07-20,98,76,87,8.5,0,22,T,0,0,EWR
2017-07-21,94,75,84.5,6,0,20,0,0,0,EWR
2017-07-22,92,71,81.5,3,0,17,0.39,0,0,EWR
2017-07-23,81,70,75.5,-2.9,0,11,0.05,0,0,EWR
2017-07-24,75,65,70,-8.4,0,5,0.9,0,0,EWR
2017-07-25,73,62,67.5,-10.8,0,3,0.01,0,0,EWR
2017-07-26,76,66,71,-7.3,0,6,0,0,0,EWR
2017-07-27,80,64,72,-6.2,0,7,T,0,0,EWR
2017-07-28,85,71,78,-0.2,0,13,0,0,0,EWR
2017-07-29,78,67,72.5,-5.6,0,8,T,0,0,EWR
2017-07-30,83,60,71.5,-6.6,0,7,0,0,0,EWR
2017-07-31,91,64,77.5,-0.5,0,13,0,0,0,EWR
2017-08-01,93,69,81,3.1,0,16,0,0,0,EWR
2017-08-02,86,70,78,0.2,0,13,0.99,0,0,EWR
2017-08-03,85,68,76.5,-1.3,0,12,0.01,0,0,EWR
2017-08-04,85,70,77.5,-0.2,0,13,0.85,0,0,EWR
2017-08-05,81,67,74,-3.6,0,9,0.64,0,0,EWR
2017-08-06,78,63,70.5,-7,0,6,0,0,0,EWR
2017-08-07,70,64,67,-10.4,0,2,0.65,0,0,EWR
